ProblemNo,Connection,Cost
0,17255 : 4 -> 5 ; 17231 : 3 -> 9 ; 57652 : 12 -> 15,10
1,17231 : 8 -> 9 ; 57652 : 12 -> 18,7
2,01153 : 6 -> 8,2
3,22816 : 19 -> 25,6
4,12219 : 4 -> 6 ; 17231 : 16 -> 24 ; 17002 : 17 -> 18,11
5,17001 : 8 -> 9 ; 17231 : 25 -> 26 ; 17002 : 21 -> 23 ; 01153 : 3 -> 9,10
6,57652 : 5 -> 12 ; 17231 : 9 -> 24 ; 17002 : 17 -> 18 ; 17231 : 25 -> 26 ; 17002 : 21 -> 23 ; 01153 : 3 -> 8,31
7,17001 : 3 -> 4,1
8,12219 : 2 -> 6 ; 17205 : 26 -> 33 ; 17231 : 7 -> 15 ; 17255 : 18 -> 19 ; 57652 : 37 -> 40,23
9,12769 : 3 -> 17 ; 17205 : 26 -> 36,24
10,19020 : 52 -> 53 ; 18473 : 36 -> 37 ; 12217 : 17 -> 18 ; 12270 : 1 -> 3 ; 02509 : 3 -> 4 ; 12776 : 4 -> 5 ; 07713 : 14 -> 16,9
11,12727 : 8 -> 9 ; 12552 : 23 -> 24 ; 02882 : 4 -> 5 ; 22882 : 10 -> 11 ; 12220 : 3 -> 4 ; 22695 : 4 -> 5 ; 12298 : 4 -> 5 ; 12480 : 7 -> 8 ; 14707 : 20 -> 21 ; 54805 : 6 -> 7,10
12,02873 : 5 -> 6 ; 02853 : 5 -> 6 ; 12623 : 2 -> 3 ; 22205 : 2 -> 3 ; 12084 : 6 -> 7 ; 12605 : 11 -> 13 ; 14260 : 31 -> 32,8
13,52453 : 8 -> 12 ; 52452 : 1 -> 2 ; 12006 : 1 -> 2 ; 04924 : 3 -> 4 ; 12014 : 7 -> 8 ; 22680 : 2 -> 3 ; 12122 : 3 -> 4 ; 11071 : 26 -> 27 ; 18236 : 47 -> 48,12
14,14235 : 17 -> 19 ; 02112 : 1 -> 2 ; 12593 : 2 -> 3 ; 22680 : 3 -> 4 ; 12652 : 4 -> 5 ; 00852 : 4 -> 5 ; 06336 : 29 -> 30 ; 18638 : 15 -> 16 ; 57272 : 6 -> 7,10
15,58530 : 48 -> 49 ; 12146 : 17 -> 18 ; 22866 : 12 -> 13 ; 22679 : 4 -> 5 ; 12285 : 5 -> 6 ; 12218 : 4 -> 5 ; 12465 : 12 -> 13 ; 59812 : 35 -> 36,8
16,11464 : 7 -> 8 ; 12269 : 2 -> 3 ; 11077 : 39 -> 40 ; 12037 : 1 -> 2 ; 12421 : 15 -> 16 ; 19614 : 10 -> 11 ; 54602 : 32 -> 37,11
17,12218 : 5 -> 6 ; 22696 : 3 -> 4 ; 12630 : 4 -> 5 ; 11046 : 37 -> 38 ; 11030 : 1 -> 2,5
18,56912 : 6 -> 8 ; 17302 : 4 -> 5 ; 17315 : 9 -> 10 ; 11005 : 21 -> 22 ; 18112 : 6 -> 7 ; 16229 : 9 -> 10 ; 22679 : 2 -> 3 ; 12649 : 5 -> 6 ; 12641 : 21 -> 22,10
19,17015 : 11 -> 12 ; 12774 : 8 -> 9 ; 00852 : 6 -> 7 ; 02509 : 8 -> 9 ; 12246 : 5 -> 6 ; 13007 : 1 -> 2 ; 12384 : 6 -> 7 ; 13117 : 2 -> 3 ; 13103 : 2 -> 4 ; 13113 : 4 -> 6 ; 13103 : 8 -> 9 ; 13113 : 7 -> 8,14
20,12769 : 13 -> 17 ; 17231 : 16 -> 25 ; 17002 : 18 -> 23 ; 01153 : 3 -> 4,54360
